site_id,source,latitude,longitude
11NPSWRD_WQX-ERMN_DEWA_BMI_3029,Other,41.08240000000001,-75.0143
11NPSWRD_WQX-ERMN_DEWA_BMI_3030,Other,41.0318,-75.0053
11NPSWRD_WQX-ERMN_DEWA_PWSM_1007,Other,41.124199999999995,-74.91279999999999
11NPSWRD_WQX-ERMN_DEWA_PWSM_2001,Other,41.2015,-74.81320000000001
11NPSWRD_WQX-ERMN_DEWA_PWSM_2006,Other,41.0855,-75.0328
11NPSWRD_WQX-ERMN_DEWA_PWSM_2008,Other,41.175999999999995,-74.8618
11NPSWRD_WQX-ERMN_DEWA_PWSM_2009,Other,41.1045,-74.9572
11NPSWRD_WQX-ERMN_UPDE_PWSM_2002,Other,41.4846,-74.9958
11NPSWRD_WQX-ERMN_UPDE_PWSM_2004,Other,41.427200000000006,-74.7561
11NPSWRD_WQX-ERMN_UPDE_PWSM_2005,Other,41.5569,-75.0188
11NPSWRD_WQX-ERMN_UPDE_PWSM_2006,Other,41.67260000000002,-75.0609
11NPSWRD_WQX-ERMN_UPDE_PWSM_2007,Other,41.7649,-75.0587
11NPSWRD_WQX-ERMN_UPDE_PWSM_2010,Other,41.9517,-75.2813
11NPSWRD_WQX-ERMN_UPDE_PWSM_2011,Other,41.852900000000005,-75.2247
11NPSWRD_WQX-ERMN_UPDE_PWSM_2012,Other,41.9529,-75.2917
11NPSWRD_WQX-HOFU_BOYER_04,Other,40.1698611,-75.7257778
11NPSWRD_WQX-HOFU_BOYER_06,Other,40.1508333,-75.6281944
11NPSWRD_WQX-HOFU_BOYER_07,Other,40.1475278,-75.621
11NPSWRD_WQX-HOFU_BOYER_08,Other,40.14094440000001,-75.56811110000001
11NPSWRD_WQX-HOFU_BOYER_10,Other,40.135999999999996,-75.5114167
11NPSWRD_WQX-HOFU_BWQM_2,Other,40.1708333,-75.7272222
11NPSWRD_WQX-HOFU_BWQM_3,Other,40.170833300000005,-75.6902778
11NPSWRD_WQX-HOFU_BWQM_4,Other,40.1475,-75.6213889
11NPSWRD_WQX-HOFU_BWQM_5,Other,40.14000000000001,-75.5769444
11NPSWRD_WQX-HOFU_CHS_FREN,Other,40.15080560000001,-75.6285833
11NPSWRD_WQX-HOFU_NURE_5,Other,40.0611944,-75.7446944
11NPSWRD_WQX-HOFU_PADEP_04PC,Other,40.189722199999984,-75.7597222
11NPSWRD_WQX-HOFU_PADEP_05FC,Other,40.17861109999999,-75.73250000000002
11NPSWRD_WQX-HOFU_PADEP_06UN,Other,40.17000000000001,-75.7263889
11NPSWRD_WQX-HOFU_PADEP_07RR,Other,40.1708333,-75.6947222
11NPSWRD_WQX-HOFU_PADEP_08FC,Other,40.17000000000001,-75.69694440000002
11NPSWRD_WQX-HOFU_PADEP_11SB,Other,40.16916669999999,-75.6936111
11NPSWRD_WQX-HOFU_PADEP_12FC,Other,40.1708333,-75.6911111
11NPSWRD_WQX-HOFU_PADEP_13BE,Other,40.1605556,-75.6705556
11NPSWRD_WQX-HOFU_PADEP_14FC,Other,40.15111110000001,-75.6294444
11NPSWRD_WQX-HOFU_PADEP_15BI,Other,40.14722220000001,-75.6230556
