year,total_annual_count
1980,6349
1981,5962
1982,6011
1983,5783
1984,5726
1985,5751
1986,5619
1987,5229
1988,5992
1989,6848
1990,6991
1991,7225
1992,7447
1993,7717
1994,6818
1995,7423
1996,7368
1997,8222
1998,8462
1999,9964
2000,12516
2001,13075
2002,11101
2003,10288
2004,10214
2005,7906
2006,7958
2007,9275
2008,10389
2009,10033
2010,9496
2011,9180
2012,9807
2013,10194
2014,11238
2015,11309
2016,12694
2017,12498
2018,17056
2019,25378
2020,34119
