seg_id_nat,year,month,n,ANN,RGCN,RGCN_ptrn,RNN,range
2013,2008,7,31,1.08097757,0.899685463,0.368425239,0.650525744,3.5
2013,2008,8,31,0.823416984,0.483683324,0.363632913,0.478343697,3.6
2013,2009,6,30,0.665528834,0.385725147,0.293663989,0.451093088,3.6
2013,2009,7,31,0.793619235,0.408789266,0.659232507,0.455036699,3.6
2013,2009,8,31,1.118243859,0.794767871,0.397868592,0.770544907,3.6
2013,2010,7,31,1.43526804,1.390379021,0.554171086,0.6082432,3.6
2013,2010,8,31,1.347462743,1.036939063,0.549207509,0.496571806,3.6
2013,2011,6,30,0.763531564,0.768051838,0.429661149,0.494000525,3.7
2013,2011,7,31,1.403782279,1.285331023,0.473166383,0.784988179,3.7
2013,2011,8,31,1.470083509,1.075606373,0.792755391,0.685018816,3.7
2013,2012,6,30,1.155581264,0.976875484,0.663380356,0.736457497,3.8
2013,2012,7,31,1.392836974,1.353425882,0.567740385,0.800255956,3.8
2013,2012,8,29,1.389446968,1.029267934,0.439322123,0.521238871,3.8
2013,2013,6,30,1.051479606,1.137646322,0.730316348,0.53629761,3.9
2013,2013,7,31,1.362932921,1.341094317,0.723820589,0.851255925,3.9
2013,2013,8,31,1.027209853,0.55712634,0.623638088,0.575498758,3.9
2013,2014,6,30,1.279249108,0.978289803,0.996052629,0.77663664,3.9
2013,2014,7,31,1.35864597,1.154926125,0.85193158,0.915847617,3.9
2013,2014,8,31,0.945480928,0.429975963,0.483840047,0.575259973,4.1
2013,2015,6,30,1.313970156,1.197874603,0.822574828,0.964716883,4.1
2013,2015,7,31,1.318180237,1.263787491,0.855429694,1.012535705,4.1
2013,2015,8,31,1.18127991,0.854536843,0.674409648,0.827499207,4.1
2013,2016,6,30,1.258189112,0.923260514,0.680179271,0.944568066,4.1
2013,2016,7,31,1.379716074,1.235458018,0.627142197,0.936500666,4.2
2013,2016,8,31,1.733949946,1.363434611,0.653704052,0.847406206,4.2
2014,2005,6,30,1.363350213,0.842234341,0.960271396,1.067078177,4.2
2014,2005,7,31,1.116945897,0.743652144,1.179492584,1.625901766,3.8
