seg_id_nat,year,month,experiment,n,ANN,RGCN,RGCN_ptrn,RNN,seg
2007,2005,6,d100,30,3.319283244,2.874594843,3.019312345,3.138613455,a1
2007,2005,7,d100,31,3.640417731,3.379600289,3.138483281,3.312795934,a2
2007,2005,8,d100,31,2.731439991,2.252758624,2.610600939,1.759664242,a3
2007,2006,6,d100,30,4.050023788,3.466931623,3.64550444,4.654351788,a4
2007,2006,7,d100,31,5.274177924,4.169170254,4.835407383,6.273806592,a5
2007,2006,8,d100,31,1.864209228,1.58930264,1.415697101,2.065858096,a6
2007,2007,6,d100,30,3.364699787,2.83599623,3.451749233,4.182489235,a7
2007,2007,7,d100,31,3.987292351,3.590173142,3.903642227,4.233224145,a8
2007,2007,8,d100,31,3.029905319,3.385328429,2.987503761,2.76363863,a9
2007,2008,6,d100,30,3.506202639,3.42609002,3.886533948,4.465192294,a10
2007,2008,7,d100,31,4.445322829,3.290786973,3.849463705,5.122964218,a11
2007,2008,8,d100,31,2.600952656,2.940339127,2.590285534,2.502719208,a12
2007,2009,6,d100,27,1.007485294,1.552949744,1.111491419,1.272225045,a13
2007,2009,7,d100,31,2.1429744,2.521940239,2.748322512,2.387733385,a14
2007,2009,8,d100,31,2.008976055,1.632036725,1.592468191,2.589730956,a15
2007,2010,6,d100,30,1.076877179,1.076316659,1.109565387,1.405948622,a16
2007,2010,7,d100,31,1.847649079,1.49774872,1.340657554,2.288666252,a17
2007,2010,8,d100,31,3.397802761,3.579384995,3.238834759,3.785656185,a18
2007,2011,6,d100,30,1.674772367,2.051414236,1.971888888,2.569347771,a19
2007,2011,7,d100,31,4.643468182,4.697601648,4.804662466,5.060849309,a20
2007,2011,8,d100,31,3.985809886,4.480518121,4.235941028,4.599543233,a21
2007,2012,6,d100,30,2.539371318,2.157037298,2.253512531,2.413501115,a22
2007,2012,7,d100,28,3.009576028,2.721683721,2.503116946,2.55664339,a23
2007,2012,8,d100,31,3.14064338,3.350601608,3.090196268,3.176908537,a24
2007,2013,6,d100,30,3.439666238,1.907489153,2.810220737,3.759956763,a25
2007,2013,7,d100,31,5.157743016,4.2333712,4.647808894,6.129432166,a26
2007,2013,8,d100,29,3.372743616,1.966270862,2.123362699,2.930087094,a27
2007,2014,6,d100,30,3.457004396,2.296699148,3.055418655,3.880264887,a28
2007,2014,7,d100,31,2.842746443,1.967533434,2.327511559,3.34745421,a29
2007,2014,8,d100,31,2.556281713,3.494552574,3.649689555,3.111024739,a30
2007,2015,6,d100,30,2.460465706,2.370654809,2.132092627,2.491029908,a31
2007,2015,7,d100,31,2.787039495,2.713158193,2.703613823,2.948041077,a32
2007,2015,8,d100,24,2.415303457,3.51373554,3.334135531,2.044803554,a33
2007,2016,6,d100,30,2.86942578,2.905954248,2.671349661,2.461986682,a34
2007,2016,7,d100,31,3.906791209,3.642964232,3.586132571,3.359707427,a35
2007,2016,8,d100,31,1.742682198,1.759293293,1.692885494,2.219854886,a36
2012,2005,6,d100,30,1.044974063,0.769624192,0.527757239,1.375486956,a37
2012,2005,7,d100,31,0.640902926,0.490096533,0.566271281,1.462136704,a38
2012,2005,8,d100,31,1.334366557,1.290587297,1.303751621,2.092062278,a39
2012,2006,6,d100,23,0.897602018,0.659347373,0.893322427,1.597749679,a40
2012,2006,7,d100,25,0.859824989,0.639696768,0.699066818,1.995204824,a41
2012,2006,8,d100,31,1.347983614,1.163546694,1.157337892,2.033287732,a42
2012,2007,6,d100,28,1.747128057,1.159234889,0.987648773,2.616640692,a43
2012,2007,7,d100,29,1.215009158,0.921887885,1.015129507,2.093946516,a44
2012,2007,8,d100,31,1.143918051,1.031279361,1.140810149,1.766939131,a45
2012,2008,6,d100,30,0.921580001,0.665320051,0.73022593,1.252626137,a46
2012,2008,7,d100,25,0.907093951,0.761486815,0.71926766,1.416080935,a47
