"seg_id_nat","year","month","n","ANN","RGCN","RGCN_ptrn","RNN","seg","error_x","rand","error_expa","error_obs","group","mid","rmse_x","error_exp"
2030,2015,7,1,3.6462850189209,2.9614533996582,1.9028596496582,3.59272094726563,"2030_2015_7_d100",1,1,34.1854418945313,31.2239884948731,"exp",19.7434850692749,15,31.2239884948731
2030,2009,8,1,3.08833106994629,2.81420501708984,2.5420378112793,3.33736785888672,"2030_2009_8_d100",2,-2,6.66263214111328,12.291042175293,"exp",19.7434850692749,15,12.291042175293
2030,2016,6,1,3.20666030883789,2.39386276245117,2.20220283508301,2.7989111328125,"2030_2016_6_d100",3,1,34.597822265625,32.2039595031738,"exp",19.7434850692749,15,32.2039595031738
2030,2013,8,1,1.48342170715332,2.25769271850586,2.28885498046875,2.23132553100586,"2030_2013_8_d100",4,1,26.4626510620117,24.2049583435059,"exp",19.7434850692749,15,24.2049583435059
2030,2016,7,1,2.60955497741699,2.04869529724121,1.70211669921875,2.78280708312989,"2030_2016_7_d100",5,-2,27.2171929168701,31.3145835113525,"exp",19.7434850692749,15,31.3145835113525
2030,2007,8,1,2.30528045654297,1.97174240112305,1.03262878417969,2.7125146484375,"2030_2007_8_d100",6,-1,4,5.97174240112305,"exp",19.7434850692749,15,5.97174240112305
2030,2010,6,1,2.76229927062988,1.9678084564209,1.06154891967773,1.42706939697266,"2030_2010_6_d100",7,2,15.281208190918,11.3455912780762,"exp",19.7434850692749,15,11.3455912780762
2030,2007,7,1,2.04725730895996,1.821650390625,2.03621566772461,2.26029479980469,"2030_2007_7_d100",8,-2,0.73970520019531,4.38300598144531,"exp",19.7434850692749,15,4.38300598144531
2030,2006,8,1,1.03276100158691,1.70822372436523,2.0706657409668,1.97220840454101,"2030_2006_8_d100",9,1,5.94441680908202,4.23619308471679,"exp",19.7434850692749,15,4.23619308471679
2030,2013,7,1,1.7306965637207,1.68313301086426,2.26653564453125,2.51911056518555,"2030_2013_7_d100",10,-1,21,22.6831330108643,"exp",19.7434850692749,15,22.6831330108643
2030,2014,6,1,1.26360717773438,1.62878623962402,0.44375244140625,1.91860595703125,"2030_2014_6_d100",11,-2,21.0813940429687,24.3389665222168,"exp",19.7434850692749,15,24.3389665222168
2030,2014,7,1,2.22374870300293,1.60927154541016,1.23372604370117,2.39057113647461,"2030_2014_7_d100",12,0,26.3905711364746,26.3905711364746,"exp",19.7434850692749,15,26.3905711364746
2030,2006,7,1,1.36731842041016,1.58771255493164,0.64840057373047,2.50512054443359,"2030_2006_7_d100",13,1,6.01024108886718,4.42252853393554,"exp",19.7434850692749,15,4.42252853393554
2030,2011,6,1,1.69389381408691,1.55159225463867,0.511280441284178,0.517996215820311,"2030_2011_6_d100",14,-2,13.4820037841797,16.585188293457,"exp",19.7434850692749,15,16.585188293457
2030,2011,8,2,0.209779865279081,1.46460287748426,1.6202587667457,0.814380281523242,"2030_2011_8_d100",15,1,17.6287605630465,16.1641576855622,"exp",19.7434850692749,15,16.1641576855622
2030,2010,8,1,1.783818359375,1.44769203186035,0.928229446411134,2.07220184326172,"2030_2010_8_d100",16,2,19.2166055297852,16.3212214660645,"exp",19.7434850692749,15,16.3212214660645
2030,2008,6,1,2.12933288574219,1.41013084411621,0.753020629882812,0.852408752441406,"2030_2008_6_d100",17,2,7.55722625732422,4.7369645690918,"exp",19.7434850692749,15,4.7369645690918
2030,2012,7,1,0.189644241333006,1.36492767333984,0.875685119628905,0.605527496337892,"2030_2012_7_d100",18,-1,18,19.3649276733398,"exp",19.7434850692749,15,19.3649276733398
2030,2010,7,1,0.877177505493165,1.29791000366211,0.673001556396486,0.695896835327147,"2030_2010_7_d100",19,-1,12,13.2979100036621,"exp",19.7434850692749,15,13.2979100036621
2030,2014,8,2,1.56850654905163,1.03602575026482,0.684841457590952,1.3641987759222,"2030_2014_8_d100",20,-1,25,26.0360257502648,"exp",19.7434850692749,15,26.0360257502648
2030,2009,7,1,1.76894096374512,1.01139167785644,0.0241479492187509,1.60543731689453,"2030_2009_7_d100",21,1,12.2108746337891,11.1994829559326,"exp",19.7434850692749,15,11.1994829559326
2030,2013,6,1,2.66261505126953,0.962152709960939,1.3291056060791,0.970461120605471,"2030_2013_6_d100",22,0,20.9704611206055,20.9704611206055,"exp",19.7434850692749,15,20.9704611206055
2030,2011,7,1,0.836944656372072,0.800279693603517,0.113409118652346,0.0780200195312482,"2030_2011_7_d100",23,2,15.2340600585937,13.6335006713867,"exp",19.7434850692749,15,13.6335006713867
2030,2015,8,1,0.786038894653323,0.629605789184573,0.269262771606442,1.31014205932618,"2030_2015_8_d100",24,2,31.9304261779785,30.6712145996094,"exp",19.7434850692749,15,30.6712145996094
2030,2008,7,1,0.98006889343262,0.593691558837893,0.629856796264651,0.165965347290037,"2030_2008_7_d100",25,-1,6,6.59369155883789,"exp",19.7434850692749,15,6.59369155883789
2030,2009,6,1,2.00190116882325,0.2893147277832,0.862247924804684,0.401946563720706,"2030_2009_6_d100",26,0,8.40194656372071,8.40194656372071,"exp",19.7434850692749,15,8.40194656372071
2030,2008,8,1,0.804382095336916,0.175138244628908,0.171571502685548,0.323796997070314,"2030_2008_8_d100",27,2,7.97139099121094,7.62111450195313,"exp",19.7434850692749,15,7.62111450195313
2030,2012,8,1,0.106905136108399,0.0571363830566405,1.78784164428711,0.0629270935058592,"2030_2012_8_d100",28,1,19.1258541870117,19.0687178039551,"exp",19.7434850692749,15,19.0687178039551
