date,total_daily_count
2019-12-21,83
2019-12-22,83
2019-12-23,85
2019-12-24,83
2019-12-25,83
2019-12-26,83
2019-12-27,82
2019-12-28,82
2019-12-29,82
2019-12-30,83
2019-12-31,84
