id,seg_id_nat,year,month,n,experiment,ANN,RGCN,RGCN_ptrn,RNN
a152,2020,2006,7,1,d100,1.32944252,1.617408295,1.681804199,2.914020081
a153,2023,2006,7,1,d100,0.905921402,2.150935593,0.797269287,1.425221863
a154,2027,2006,7,1,d100,1.07534111,0.815817719,3.516863708,2.136008148
a155,2030,2006,7,1,d100,1.36731842,1.587712555,0.648400574,2.505120544
a156,2031,2006,7,1,d100,0.245499191,0.629368362,0.934757767,0.64158493
a157,2033,2006,7,1,d100,1.618583603,1.585584564,0.499792023,0.702886505
a158,2034,2006,7,1,d100,0.247861481,1.694120026,0.309215927,0.41098938
a159,2036,2006,7,2,d100,1.070241512,1.06279158,0.579226837,1.303712782
a160,2037,2006,7,31,d100,0.584165698,0.680706273,0.813468205,1.641818506
a161,2044,2006,7,1,d100,0.08299469,1.026518097,0.109308014,3.009935608
a162,2046,2006,7,1,d100,1.304731216,0.634500351,1.22640213,0.149051514
a163,2007,2006,8,31,d100,1.864209228,1.58930264,1.415697101,2.065858096
a164,2012,2006,8,31,d100,1.347983614,1.163546694,1.157337892,2.033287732
a165,2013,2006,8,31,d100,1.018712618,0.693317858,0.374016252,0.583530674
a166,2014,2006,8,31,d100,0.78412895,0.409489219,0.50734955,0.864654462
a167,2019,2006,8,1,d100,1.086852646,0.288907623,0.212099457,1.023704147
a168,2020,2006,8,1,d100,1.910672913,2.484887848,2.178521881,2.717677841
a169,2021,2006,8,1,d100,0.957747574,0.797932739,0.757504578,0.793303604
a170,2023,2006,8,1,d100,1.212049255,2.828912506,1.334808121,0.413992157
a171,2027,2006,8,1,d100,1.025283585,0.71205307,2.560094604,3.494573364
a172,2030,2006,8,1,d100,1.032761002,1.708223724,2.070665741,1.972208405
a173,2031,2006,8,1,d100,0.68324295,0.999050293,1.190330658,1.276662674
a174,2033,2006,8,1,d100,1.630563889,1.84491745,0.738903198,1.051044312
a175,2034,2006,8,1,d100,0.252936478,1.695832367,0.04741394,1.398699646
a176,2036,2006,8,2,d100,1.57594983,2.317320234,1.533677379,2.117686285
a177,2037,2006,8,31,d100,0.737824276,0.401139929,0.948223014,1.106644787
a178,2044,2006,8,1,d100,1.50766777,1.989492645,2.112406006,2.428602448
a179,2046,2006,8,1,d100,2.479900284,1.053346558,0.529440002,0.401639862
a180,2007,2007,6,30,d100,3.364699787,2.83599623,3.451749233,4.182489235
a181,2012,2007,6,28,d100,1.747128057,1.159234889,0.987648773,2.616640692
a182,2013,2007,6,30,d100,0.943662347,0.820099394,0.444302009,0.552187462
a183,2014,2007,6,30,d100,1.16232469,0.510703104,0.492251708,1.27011264
a184,2037,2007,6,30,d100,0.764100496,0.462144878,0.700532831,1.534484744
a185,2046,2007,6,27,d100,1.536290714,1.203164334,1.584562873,1.174493163
a186,2007,2007,7,31,d100,3.987292351,3.590173142,3.903642227,4.233224145
a187,2012,2007,7,29,d100,1.215009158,0.921887885,1.015129507,2.093946516
a188,2013,2007,7,31,d100,0.933849652,0.725106997,0.574600051,0.645462656
a189,2014,2007,7,27,d100,1.271507095,0.836429904,1.043908199,1.547539805
a190,2019,2007,7,1,d100,2.155777893,1.620667419,1.725264511,2.593764267
a191,2020,2007,7,1,d100,3.707621078,3.09623764,3.151945572,3.834003906
a192,2021,2007,7,1,d100,1.481245041,1.471628189,1.09985733,1.559467316
a193,2023,2007,7,1,d100,2.402078476,3.627651062,2.033014145,1.409139481
a194,2027,2007,7,1,d100,3.169061508,3.594795074,1.864528503,1.515308228
a195,2030,2007,7,1,d100,2.047257309,1.821650391,2.036215668,2.2602948
a196,2031,2007,7,1,d100,1.864753189,1.050609055,1.462663116,0.021681366
a197,2033,2007,7,1,d100,2.893113174,2.279694595,1.717955627,0.760199585
a198,2034,2007,7,1,d100,1.69639946,2.852245102,1.162391434,0.599416504
a199,2036,2007,7,1,d100,2.464306259,3.509458923,2.179071808,3.210277939
a200,2037,2007,7,31,d100,0.638302743,0.463376472,0.976803261,1.358623798
a201,2044,2007,7,1,d100,1.121871414,1.091062012,0.668635788,3.224719467
a202,2046,2007,7,31,d100,2.039841278,1.355233949,1.113163644,1.166020577
a203,2007,2007,8,31,d100,3.029905319,3.385328429,2.987503761,2.76363863
a204,2012,2007,8,31,d100,1.143918051,1.031279361,1.140810149,1.766939131
a205,2013,2007,8,31,d100,0.760994504,0.632195573,0.46718318,0.609196357
a206,2014,2007,8,31,d100,1.486063469,1.055786112,1.331616892,1.588152319
a207,2017,2007,8,1,d100,0.983153915,0.559660339,0.346090698,0.318998718
a208,2020,2007,8,1,d100,2.656183243,2.459194183,2.291517258,3.104099274
a209,2023,2007,8,1,d100,2.580198059,3.327771912,1.886014709,1.264230499
a210,2027,2007,8,1,d100,1.733024673,2.132682877,0.458642883,0.136899872
a211,2030,2007,8,1,d100,2.305280457,1.971742401,1.032628784,2.712514648
a212,2031,2007,8,1,d100,1.632792511,1.158041992,1.731759109,0.024397888
a213,2033,2007,8,1,d100,2.3979319,1.534225311,0.172794189,0.277750168
a214,2034,2007,8,1,d100,1.636074371,2.590450592,0.806408234,0.277586288
a215,2036,2007,8,1,d100,0.781215286,1.351850128,1.378488922,1.356004333
a216,2037,2007,8,31,d100,0.560910051,0.374549028,0.874367726,0.954225123
a217,2044,2007,8,1,d100,1.812496262,1.820465164,1.22233017,2.655012207
a218,2046,2007,8,31,d100,2.335938861,1.36260609,0.934547146,1.444556828
a219,2007,2008,6,30,d100,3.506202639,3.42609002,3.886533948,4.465192294
a220,2012,2008,6,30,d100,0.921580001,0.665320051,0.73022593,1.252626137
a221,2013,2008,6,30,d100,0.925234138,0.876774078,0.429279784,0.736223698
a222,2014,2008,6,30,d100,1.28566699,0.650668757,0.832386946,0.992866199
a223,2019,2008,6,1,d100,3.277336502,2.792623901,2.5726017,2.360704803
a224,2020,2008,6,1,d100,3.720207367,2.694664154,2.696510468,2.749414597
a225,2021,2008,6,1,d100,2.203369446,2.337375946,1.272800751,1.378452606
a226,2023,2008,6,1,d100,3.179484711,2.892524109,1.687054977,2.220992432
a227,2027,2008,6,1,d100,0.358085709,0.37832634,2.272207184,0.606624527
a228,2030,2008,6,1,d100,2.129332886,1.410130844,0.75302063,0.852408752
a229,2031,2008,6,1,d100,2.045034409,0.370262146,0.593235016,0.07960701
a230,2033,2008,6,1,d100,3.037096939,1.699542007,1.023817978,1.001660309
a231,2034,2008,6,1,d100,2.579548264,2.229193115,0.576094055,1.604090118
a232,2036,2008,6,1,d100,1.839965363,1.82644989,0.633777161,1.453322906
a233,2037,2008,6,27,d100,0.863174755,0.497347868,0.494832371,0.759303982
a234,2044,2008,6,1,d100,0.788574753,1.664694366,0.994482574,1.763159332
a235,2046,2008,6,30,d100,2.137618814,1.781736186,1.792477168,2.098894307
a236,2007,2008,7,31,d100,4.445322829,3.290786973,3.849463705,5.122964218
a237,2012,2008,7,25,d100,0.907093951,0.761486815,0.71926766,1.416080935
a238,2013,2008,7,31,d100,1.08097757,0.899685463,0.368425239,0.650525744
a239,2014,2008,7,31,d100,0.851485212,0.503839371,0.674422893,1.091686365
a240,2020,2008,7,1,d100,2.502633362,2.026738434,1.874249725,2.309459
a241,2023,2008,7,1,d100,1.719242172,2.184030609,1.234148102,1.076961594
a242,2027,2008,7,1,d100,0.737354355,0.089944763,2.474309998,1.78857048
a243,2030,2008,7,1,d100,0.980068893,0.593691559,0.629856796,0.165965347
a244,2031,2008,7,1,d100,0.757418976,0.394442902,0.491788254,0.870056763
